City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Cabo San Lucas,MX,71.51,broken clouds,22.8909,-109.9124,Comfort Rooms
3,Bubaque,GW,79.75,clear sky,11.2833,-15.8333,Chez Julio
7,Coquimbo,CL,71.33,few clouds,-29.9533,-71.3436,Hotel Iberia
11,Rikitea,PF,78.44,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
13,Sao Joao Da Barra,BR,87.89,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
17,Castro,BR,74.26,moderate rain,-24.7911,-50.0119,Hotel Central Palace
21,Faanui,PF,79.75,moderate rain,-16.4833,-151.75,Oa Oa Lodge
26,Kafue,ZM,72.68,light rain,-15.7691,28.1814,Lwanginga guesthouse
28,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti International Resort
36,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
39,Mahebourg,MU,79.09,light rain,-20.4081,57.7,Grand Bel Air
40,Port Elizabeth,ZA,75.49,few clouds,-33.918,25.5701,Waterford Hotel
43,Hithadhoo,MV,81.23,overcast clouds,-0.6,73.0833,Pebbles Inn
45,Morondava,MG,81.75,scattered clouds,-20.2833,44.2833,Hotel Sharon Menabe
48,Bengkulu,ID,76.64,overcast clouds,-3.8004,102.2655,Dena Hotel
50,Banda Aceh,ID,78.24,moderate rain,5.5577,95.3222,Hotel 61
56,Hermanus,ZA,78.8,clear sky,-34.4187,19.2345,Aloe guest house
58,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Horisun
63,Lhokseumawe,ID,76.57,overcast clouds,5.1801,97.1507,Vina Vira Hotel
69,Cape Town,ZA,74.91,clear sky,-33.9258,18.4232,Townhouse Hotel
71,Atuona,PF,78.93,overcast clouds,-9.8,-139.0333,Pearl Resort
73,Cidreira,BR,83.3,few clouds,-30.1811,-50.2056,Hotel Castelo
74,Monte Patria,CL,81.25,broken clouds,-30.6919,-70.9467,Hotel Monte Cordillera
75,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,Le Baril
76,Salalah,OM,75.29,broken clouds,17.0151,54.0924,Muscat International Hotel
77,Georgetown,MY,83.95,few clouds,5.4112,100.3354,Page 63 hostel
78,Pangani,TZ,78.24,few clouds,-5.4333,38.9667,Not in use
79,Chuy,UY,84.04,clear sky,-33.6971,-53.4616,Alerces
86,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Blossom's on Seaspray
87,Karratha,AU,87.4,clear sky,-20.7377,116.8463,Karratha International Hotel
96,Bredasdorp,ZA,74.46,clear sky,-34.5322,20.0403,Victoria Hotel
98,Sechura,PE,80.76,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
102,Lorengau,PG,80.64,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
106,Oudtshoorn,ZA,71.96,few clouds,-33.5907,22.2014,The Pearl
108,Necochea,AR,80.82,scattered clouds,-38.5473,-58.7368,Cabañas Río Quequén
114,Alibag,IN,80.67,few clouds,18.6411,72.8792,Hira Laxmi Residency
120,Gorontalo,ID,74.39,broken clouds,0.5412,123.0595,Grand City Hotel
121,Souillac,MU,79.18,light rain,-20.5167,57.5167,Hotel SkylineInn
125,Waingapu,ID,80.02,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
130,Kavieng,PG,81.93,overcast clouds,-2.5744,150.7967,Kavieng Hotel
131,Itarema,BR,85.55,overcast clouds,-2.9248,-39.9167,Pousada Oásis
132,Mabaruma,GY,84.43,scattered clouds,8.2,-59.7833,Monty Brooms Hotel
134,Kapaa,US,70.12,moderate rain,22.0752,-159.319,Pono Kai Resort
135,Puri,IN,75.72,broken clouds,19.8,85.85,Divine Beach Homestay
139,Plettenberg Bay,ZA,72.55,scattered clouds,-34.0527,23.3716,Milkwood Manor
141,Labuan,MY,77.36,light rain,5.2767,115.2417,Labuan Avenue Hotel
146,San Vicente,AR,74.1,broken clouds,-26.6167,-54.1333,Los Lapachos
151,Santa Cruz Cabralia,BR,80.83,broken clouds,-16.2781,-39.0247,Campo Bahia Resort
155,Kismayo,SO,77.34,clear sky,-0.3582,42.5454,Kismayo Hotel
158,Yulara,AU,80.74,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
167,Kahului,US,74.84,light rain,20.8947,-156.47,Maui Seaside Hotel
168,Meulaboh,ID,76.14,light rain,4.1363,96.1285,Hotel Meuligou
178,Touros,BR,86.22,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
181,Guarapari,BR,84.88,scattered clouds,-20.6667,-40.4975,Osmar Hotel
182,Manokwari,ID,77.99,overcast clouds,-0.8667,134.0833,Hotel Arfak
189,Moratuwa,LK,76.86,light rain,6.773,79.8816,Frankfort House - Reception Hall
192,Saldanha,ZA,78.85,scattered clouds,-33.0117,17.9442,Hoedjesbaai
205,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Central Hôtel
206,Sao Filipe,CV,72.19,scattered clouds,14.8961,-24.4956,Bela Vista
219,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
230,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Ocean Centre Hotel
231,Tual,ID,82.49,overcast clouds,-5.6667,132.75,Suita
242,Toamasina,MG,80.6,moderate rain,-18.1667,49.3833,Androranga
244,Brazzaville,CG,89.96,few clouds,-4.2658,15.2832,BLISS HOTEL
250,Kuruman,ZA,82.99,scattered clouds,-27.4524,23.4325,Palermo Inn
255,Pisco,PE,75.25,clear sky,-13.7,-76.2167,La Portada
257,Jardim,BR,75.29,light rain,-21.4803,-56.1381,Hotel Uchôa
258,Obidos,BR,77.22,overcast clouds,-1.9175,-55.5181,Hotel Brás Belo
260,Gizo,SB,81.99,overcast clouds,-8.103,156.8419,Gizo Hotel
266,Saint-Pierre,RE,82.08,few clouds,-21.3393,55.4781,Tropic Hotel
268,Isangel,VU,78.58,overcast clouds,-19.55,169.2667,Tanna Lodge
274,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
276,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
281,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Coco Villa
282,Kovvur,IN,77.25,haze,17.0167,81.7333,La Hospin
285,Amuntai,ID,74.7,overcast clouds,-2.4177,115.2494,Grand Balqis Hotel
286,Sulangan,PH,78.85,broken clouds,11.1373,123.7228,Marion's Inn
288,Santa Marta,CO,84.25,few clouds,11.2408,-74.199,Casa Mita
