City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Busselton,AU,-33.65,115.3333,60.73,69,0,18.48,clear sky
1,Albany,US,42.6001,-73.9662,29.68,62,84,3.0,broken clouds
2,Cabo San Lucas,MX,22.8909,-109.9124,71.51,64,75,3.44,broken clouds
3,Bubaque,GW,11.2833,-15.8333,79.75,43,7,8.05,clear sky
4,Provideniya,RU,64.3833,-173.3,19.76,98,100,1.14,overcast clouds
5,Roma,US,43.2128,-75.4557,23.72,74,100,9.22,overcast clouds
6,Bethel,US,41.3712,-73.414,38.19,66,75,9.22,broken clouds
7,Coquimbo,CL,-29.9533,-71.3436,71.33,64,20,9.22,few clouds
8,Carballo,ES,43.213,-8.691,57.06,75,25,6.35,scattered clouds
9,Torbay,CA,47.6666,-52.7314,33.89,92,100,9.22,overcast clouds
10,Dyurtyuli,RU,55.4911,54.8688,23.88,86,100,14.41,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,78.44,74,24,11.65,light rain
12,Esterhazy,CA,50.65,-102.0843,-4.95,98,47,6.04,scattered clouds
13,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,76,89,16.84,overcast clouds
14,Biak,ID,-0.9131,122.8766,76.24,86,82,5.46,broken clouds
15,Whitefish,US,48.4111,-114.3376,10.15,85,100,0.0,mist
16,Barrow,US,71.2906,-156.7887,-9.38,77,0,24.16,clear sky
17,Castro,BR,-24.7911,-50.0119,74.26,74,100,8.52,moderate rain
18,Ibra,OM,22.6906,58.5334,67.28,42,0,12.91,clear sky
19,Srednekolymsk,RU,67.45,153.6833,-10.82,97,95,9.26,overcast clouds
20,Nikolskoye,RU,59.7035,30.7861,31.91,86,99,9.64,overcast clouds
21,Faanui,PF,-16.4833,-151.75,79.75,78,53,12.33,moderate rain
22,Tiksi,RU,71.6872,128.8694,-9.35,100,100,11.79,snow
23,Vitim,RU,59.4511,112.5578,2.55,96,100,8.08,light snow
24,Manggar,ID,-2.8833,108.2667,78.8,85,89,9.31,overcast clouds
25,Hilo,US,19.7297,-155.09,69.24,92,20,3.44,few clouds
26,Kafue,ZM,-15.7691,28.1814,72.68,88,95,5.19,light rain
27,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,0,4.61,clear sky
28,Vaini,TO,-21.2,-175.2,78.96,94,20,11.5,light rain
29,Punta Arenas,CL,-53.15,-70.9167,57.31,54,75,27.63,broken clouds
30,Kodiak,US,57.79,-152.4072,38.71,93,100,4.61,light rain
31,Vardo,NO,70.3705,31.1107,33.78,80,100,19.57,light snow
32,Tazovskiy,RU,67.4667,78.7,-17.07,100,26,6.04,scattered clouds
33,Weiser,US,44.251,-116.9693,19.6,71,100,2.77,overcast clouds
34,Maiduguri,NG,11.8464,13.1603,92.84,10,61,13.09,broken clouds
35,Ahipara,NZ,-35.1667,173.1667,66.24,96,82,5.55,broken clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,84.16,90,86,4.0,light rain
37,Ushuaia,AR,-54.8,-68.3,55.06,58,75,13.8,broken clouds
38,Broome,US,42.2506,-75.833,28.02,65,75,9.22,broken clouds
39,Mahebourg,MU,-20.4081,57.7,79.09,94,40,4.61,light rain
40,Port Elizabeth,ZA,-33.918,25.5701,75.49,89,20,20.71,few clouds
41,Yar-Sale,RU,66.8333,70.8333,4.19,92,98,11.83,overcast clouds
42,Aitape,PG,-3.1374,142.3475,77.77,89,98,2.66,overcast clouds
43,Hithadhoo,MV,-0.6,73.0833,81.23,76,98,13.47,overcast clouds
44,Dikson,RU,73.5069,80.5464,-1.44,90,100,9.4,overcast clouds
45,Morondava,MG,-20.2833,44.2833,81.75,80,40,9.75,scattered clouds
46,Coihaique,CL,-45.5752,-72.0662,66.15,34,0,3.44,clear sky
47,Korla,CN,41.7597,86.1469,20.95,81,100,4.9,overcast clouds
48,Bengkulu,ID,-3.8004,102.2655,76.64,91,100,5.21,overcast clouds
